Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Das Protokoll von gestern wurde verteilt.	The Minutes of yesterday' s sitting have been distributed.
Gibt es Einwände?	Are there any comments?
Herr Präsident, nach der Abstimmung über den Haushaltsplan erlebten wir gestern einen besonderen Augenblick insofern, als die drei beteiligten Institutionen durch weibliche Repräsentantinnen vertreten waren, und die Präsidentin sprach am Schluß von einem guten Ende des Jahrtausends.	Mr President, yesterday, at the end of the vote on the budget, there was a moment when the three institutions concerned were represented by women and the President concluded by saying that the Millennium was ending on a high note.
Ich wollte lediglich, wie es vor kurzem auch das angesehene Greenwich-Observatorium getan hat, darauf hinweisen, daß das Jahrtausend am 31. Dezember 2000 zu Ende gehen wird.	I just wanted to mention that, as the authoritative Greenwich Observatory has also pointed out, the Millennium will end on 31 December 2000.
Herr Speroni, ich bin mir bewußt, daß Sie vom rationalen und kartesianischen Standpunkt völlig recht haben.	Mr Speroni, I am aware that, from a rational and Cartesian point of view, you are absolutely right.
Wissenschaftlich betrachtet haben Sie recht.	Scientifically you are right.
Aber aus der Sicht des Volksglaubens endet das Millennium in 14 Tagen.	However, according to popular belief, the Millennium ends in 14 days.
Deshalb wird Ihre Überlegung im Protokoll stehen, aber ich glaube, jeder wird es zumindest am 31. Dezember dieses Jahres und möglicherweise zweimal feiern.	Therefore, your comments will appear in the Minutes, but I believe that everybody will hold celebrations, at least, on 31 December of this year and then, possibly, a second time.
Das gibt mir die Möglichkeit, Ihnen zu sagen, daß die Präsidentin heute bei Ihnen sein wollte, aber leider ist, wie Sie wissen, ihre Gesundheit in diesen Tagen angegriffen, und deshalb möchte ich Ihnen allen in ihrem Namen, in dem des Präsidiums und in meinem eigenen Namen die besten Wünsche für dieses Weihnachtsfest, für das kommende Jahr und, ich wollte auch sagen, das nächste Jahrtausend, zum Ausdruck bringen.	I would like to take this opportunity to tell you that the President would have liked to have been with you today but, unfortunately, as you know, she is not very well at the moment and therefore, on her behalf, on behalf of the Bureau and on my own behalf, I would like to wish you all the best for this Christmas, this new year and, I was going to say, this new Millennium.
Auf jeden Fall, im Namen des Präsidiums frohe Weihnachten und ein glückliches Neues Jahr, und gestatten Sie mir, es einmal in meiner eigenen Sprache zu sagen: "Bon Nadal i feliç Any Nou ".	In any case, personally, I was convinced that I was going to be the last President of the Millennium.
(Beifall) (Das Parlament genehmigt das Protokoll.)	In any event, on behalf of the Bureau, Merry Christmas and a Happy New Year and, on this one occasion, allow me to wish you, in my own Catalan language: 'Bon Nadal i feliç Any Nou' .
Internationaler Fonds für Irland	(Applause) (The Minutes were approved)
Herr de Rossa bittet mich um das Wort zur Geschäftsordnung.	International Fund for Ireland
De Rossa (PSE).	Mr De Rossa has requested the floor for a procedural motion.
(EN) Herr Präsident, zur Geschäftsordnung möchte ich die Frage stellen, ob die zu diesem Vorschlag eingereichten Änderungsanträge der Geschäftsordnung entsprechen.	De Rossa (PSE).
Dies ist ein Vorschlag ohne Aussprache, und wir werden daher keine Gelegenheit haben, die vorliegenden Änderungsanträge zu erörtern.	Mr President, on a point of order, I wish to raise the question as to whether or not the amendments which have been tabled in relation to this proposal are in order.
